repo_name,pull_count,star_count,is_official,image_id,image_size,distro,distro_version,layers,packages,files,package_files,description
nginx,603362859,5647,true,5e69fe4b3c31,190497792,debian,8,4,140,11191,9756,Official build of Nginx.
mbabineau/cfn-bootstrap,432517526,3,false,7fa4da94024d,124501504,debian,7,5,91,9407,7585,Barebones image with the CloudFormation helper scripts installed
google/cadvisor,394191870,212,false,f9ba08bafdea,58157056,alpine,3.4.6,3,40,1316,1316,Analyzes resource usage and performance characteristics of running containers.
redis,233528788,3549,true,83d6014ac5c8,190334976,debian,8,7,118,9357,8035,Redis is an open source key-value store that functions as a data structure server.
busybox,218976205,966,true,00f017a8c2a6,1320448,busybox,v1.26.2,1,1,400,400,Busybox base image.
zzrot/whale-awkward,216654106,3,false,08e0a241de0d,10752,Unknown,0,1,0,13,13,"Whale, this is awkward"
ubuntu,192414208,5758,true,0ef2e08ed3fa,129972069,ubuntu,16.04,5,98,8015,7253,Ubuntu is a Debian-based Linux operating system based on free software.
gliderlabs/registrator,183796878,127,false,3b59190c6c80,24399360,alpine,3.2.3,3,15,994,994,Service registry bridge for Docker with pluggable backends
openshift/hello-openshift,142723398,16,false,bfeeb59488d4,5645824,Unknown,0,1,0,13,13,Simple Example for Running a Container on OpenShift
newrelic/nrsysmond,115367305,25,false,9bf16d2b0b9c,201840128,ubuntu,14.04,6,184,12876,11555,Public beta image for New Relic's Linux Server Monitor
weaveworks/scope,103944735,15,false,67057c5c1939,76878848,alpine,3.5.0,9,39,4039,4039,"Monitoring, visualisation & management for Docker & Kubernetes"
datadog/docker-dd-agent,84883423,50,false,5309e0690a34,366116352,debian,8,5,108,20158,18894,Docker container for the Datadog Agent.
registry,80274089,1398,true,047218491f8c,35665920,alpine,3.4.6,5,22,3792,3792,The Docker Registry 2.0 implementation for storing and distributing Docker images
iron/node,79172371,25,false,9ca501065d18,19194368,alpine,3.3.0,4,16,993,993,Tiny Node image
alpine,79138111,2021,true,4a415e366388,4237824,alpine,3.5.2,1,11,449,449,A minimal Docker image based on Alpine Linux with a complete package index and only 5 MB in size!
